Matricule;Nom;Prénom;Genre;Date de naissance;Lieu de naissance;Tuteur;Téléphone
ELV-001;BA;Aminata;F;14/02/2014;Dakar;Mariama Ba;770100001
ELV-002;DIALLO;Ousmane;M;03/09/2013;Thiès;Mamadou Diallo;770100002
ELV-003;SOW;Fatou;F;21/11/2014;Kaolack;Awa Sow;770100003
ELV-004;NDIAYE;Moussa;M;08/05/2013;Saint-Louis;Khady Ndiaye;770100004
ELV-005;FALL;Aissatou;F;17/07/2014;Ziguinchor;Alioune Fall;770100005
ELV-006;SECK;Ibrahima;M;29/01/2013;Rufisque;Rokhaya Seck;770100006
ELV-007;DIOP;Khadija;F;12/12/2014;Mbour;Samba Diop;770100007
ELV-008;GUEYE;Cheikh;M;25/03/2013;Louga;Mame Gueye;770100008
ELV-009;NDAO;Mariama;F;06/08/2014;Fatick;Abdou Ndao;770100009
ELV-010;DIA;Babacar;M;19/10/2013;Kolda;Aminata Dia;770100010
ELV-011;BARRY;Hawa;F;04/04/2014;Tambacounda;Oumar Barry;770100011
ELV-012;CISSE;Pape;M;15/06/2013;Bambey;Mariam Cisse;770100012
ELV-013;SY;Ndeye;F;27/09/2014;Dakar;Cheikh Sy;770100013
ELV-014;KANE;Mamadou;M;10/01/2013;Thiès;Khady Kane;770100014
ELV-015;WANE;Adja;F;23/02/2014;Kaolack;Issa Wane;770100015
ELV-016;TOURE;Abdoul;M;30/07/2013;Saint-Louis;Aminata Toure;770100016
ELV-017;NIANG;Fanta;F;11/12/2014;Ziguinchor;Moussa Niang;770100017
ELV-018;DIAW;Moussa;M;22/03/2013;Rufisque;Mariama Diaw;770100018
ELV-019;HANE;Awa;F;09/05/2014;Mbour;Pape Hane;770100019
ELV-020;MBAYE;Seydina;M;18/08/2013;Louga;Aminata Mbaye;770100020
ELV-021;GAYE;Bineta;F;01/11/2014;Fatick;Samba Gaye;770100021
ELV-022;LY;Ilyass;M;14/04/2013;Kolda;Mame Ly;770100022
ELV-023;LO;Keur;F;26/06/2014;Tambacounda;Moussa Lo;770100023
ELV-024;SAMB;Balla;M;07/09/2013;Bambey;Fatou Samb;770100024
ELV-025;THIAM;Rama;F;20/10/2014;Dakar;Ousmane Thiam;770100025
ELV-026;FAYE;Amadou;M;05/02/2013;Thiès;Aissatou Faye;770100026
ELV-027;GNING;Mame;F;13/03/2014;Kaolack;Babacar Gning;770100027
ELV-028;BADJI;Saliou;M;24/07/2013;Ziguinchor;Aminata Badji;770100028
ELV-029;CAMARA;Fama;F;16/11/2014;Rufisque;Mamadou Camara;770100029
ELV-030;DIONE;Oumar;M;02/01/2013;Mbour;Rokhaya Dione;770100030
ELV-031;KEBE;Coumba;F;28/02/2014;Louga;Cheikh Kebe;770100031
ELV-032;MBOUP;Assane;M;09/04/2013;Fatick;Khady Mboup;770100032
ELV-033;DAMBEL;Awa;F;15/05/2014;Kolda;Moussa Dambel;770100033
ELV-034;NGER;Moussa;M;30/08/2013;Tambacounda;Mariam Nger;770100034
ELV-035;NDIAYE;Haby;F;12/09/2014;Bambey;Abdou Ndiaye;770100035
ELV-036;FOFANA;Mame;M;21/12/2013;Dakar;Aminata Fofana;770100036
ELV-037;DIAKHITE;Sokhna;F;03/03/2014;Thiès;Ibrahima Diakhite;770100037
ELV-038;SARR;Cheikh;M;18/06/2013;Kaolack;Mariama Sarr;770100038
ELV-039;GUEYE;Nafy;F;27/07/2014;Saint-Louis;Ousmane Gueye;770100039
ELV-040;BARRO;Mamadou;M;08/10/2013;Ziguinchor;Awa Barro;770100040
ELV-041;KEITA;Aissatou;F;14/01/2014;Rufisque;Moussa Keita;770100041
ELV-042;DIOUF;El Hadji;M;26/04/2013;Mbour;Khady Diouf;770100042
ELV-043;LOPES;Dior;F;11/05/2014;Louga;Samba Lopes;770100043
ELV-044;NGOM;Moussa;M;23/08/2013;Fatick;Mariama Ngom;770100044
ELV-045;SEYDI;Aicha;F;06/10/2014;Kolda;Babacar Seydi;770100045
ELV-046;HASSANE;Ismael;M;17/02/2013;Tambacounda;Aminata Hassane;770100046
ELV-047;MBOW;Ndeye;F;28/03/2014;Bambey;Ibrahima Mbow;770100047
ELV-048;SANÉ;Lamine;M;10/06/2013;Dakar;Fanta Sané;770100048
ELV-049;GADIAGA;Adama;F;19/07/2014;Thiès;Moussa Gadiaga;770100049
ELV-050;WADE;Moustapha;M;01/09/2013;Kaolack;Aminata Wade;770100050
ELV-051;NIAKATE;Rokhaya;F;24/11/2014;Saint-Louis;Cheikh Niakate;770100051
ELV-052;KOMA;Seydina;M;05/12/2013;Ziguinchor;Mariama Koma;770100052
ELV-053;BALDE;Awa;F;13/01/2014;Rufisque;Oumar Balde;770100053
ELV-054;DIOP;Moussa;M;22/02/2013;Mbour;Aminata Diop;770100054
ELV-055;GAYE;Mame Diarra;F;07/04/2014;Louga;Babacar Gaye;770100055
ELV-056;DIA;Mamadou;M;18/05/2013;Fatick;Aissatou Dia;770100056
ELV-057;FALL;Sokhna;F;29/06/2014;Kolda;Ibrahima Fall;770100057
ELV-058;CISSE;Pape;M;09/08/2013;Tambacounda;Mariama Cisse;770100058
ELV-059;DIONE;Fatoumata;F;20/09/2014;Bambey;Moussa Dione;770100059
ELV-060;NDAO;Ousseynou;M;31/10/2013;Dakar;Awa Ndao;770100060
ELV-061;SECK;Aminata;F;02/12/2014;Thiès;Cheikh Seck;770100061
ELV-062;THIAM;Baye;M;13/01/2013;Kaolack;Khady Thiam;770100062
ELV-063;SARR;Bineta;F;25/02/2014;Saint-Louis;Mamadou Sarr;770100063
ELV-064;SOW;Alioune;M;08/04/2013;Ziguinchor;Aissatou Sow;770100064
ELV-065;LY;Khady;F;19/05/2014;Rufisque;Ousmane Ly;770100065
ELV-066;DIALLO;Moussa;M;03/07/2013;Mbour;Mariama Diallo;770100066
ELV-067;FAYE;Ndeye;F;14/08/2014;Louga;Ibrahima Faye;770100067
ELV-068;GNING;Elimane;M;26/09/2013;Fatick;Awa Gning;770100068
ELV-069;BARRO;Aicha;F;07/10/2014;Kolda;Babacar Barro;770100069
ELV-070;KEBE;Mamadou;M;18/11/2013;Tambacounda;Aminata Kebe;770100070
ELV-071;DIOUF;Hawa;F;29/12/2014;Bambey;Samba Diouf;770100071
ELV-072;NGOM;Bamba;M;10/01/2013;Dakar;Mariama Ngom;770100072
ELV-073;BADJI;Rama;F;21/02/2014;Thiès;Moussa Badji;770100073
ELV-074;MBOUP;Amadou;M;04/03/2013;Kaolack;Awa Mboup;770100074
ELV-075;DIAW;Aminata;F;15/04/2014;Saint-Louis;Ibrahima Diaw;770100075
ELV-076;HANE;Oumar;M;27/05/2013;Ziguinchor;Khady Hane;770100076
ELV-077;NIANG;Sokhna;F;08/06/2014;Rufisque;Babacar Niang;770100077
ELV-078;WADE;Moussa;M;19/07/2013;Mbour;Aissatou Wade;770100078
ELV-079;SANÉ;Awa;F;30/08/2014;Louga;Mamadou Sané;770100079
ELV-080;DIONE;Cheikh;M;11/09/2013;Fatick;Mame Dione;770100080
